country,year,attack_type,target_industry,financial_loss_in_million,number_of_affected_users,attack_source,security_vulnerability_type,defense_mechanism_used,incident_resolution_time_in_hours,severity_score
Germany,2016,Phishing,Government,93.61,395731,Insider,Unpatched Software,AI-based Detection,64,395824.61
Australia,2017,Ransomware,Government,27.38,918816,Unknown,Weak Passwords,AI-based Detection,58,918843.38
Australia,2021,Malware,Healthcare,74.61,357205,Nation-state,Weak Passwords,Antivirus,21,357279.61
UK,2019,SQL Injection,IT,78.84,464960,Unknown,Unpatched Software,Encryption,24,465038.84
USA,2019,Ransomware,Telecommunications,65.7,51619,Insider,Unpatched Software,VPN,3,51684.7
Brazil,2017,Phishing,IT,81.04,850794,Unknown,Social Engineering,Antivirus,69,850875.04
France,2015,Man-in-the-Middle,Banking,27.2,559841,Nation-state,Unpatched Software,VPN,22,559868.2
China,2018,DDoS,Healthcare,86.38,685136,Nation-state,Weak Passwords,Antivirus,62,685222.38
Brazil,2016,Malware,Education,83.93,102797,Unknown,Weak Passwords,Firewall,17,102880.93
France,2022,Ransomware,Healthcare,40.36,439046,Insider,Social Engineering,VPN,42,439086.36
USA,2019,SQL Injection,Telecommunications,57.4,51312,Insider,Social Engineering,AI-based Detection,26,51369.4
Brazil,2022,Ransomware,Retail,1.42,510870,Unknown,Unpatched Software,AI-based Detection,35,510871.42
Russia,2021,SQL Injection,Government,66.5,348118,Hacker Group,Zero-day,VPN,42,348184.5
Australia,2016,Ransomware,Healthcare,47.18,509930,Unknown,Social Engineering,AI-based Detection,68,509977.18
UK,2016,Ransomware,IT,58.99,822380,Hacker Group,Zero-day,Firewall,26,822438.99
Germany,2022,SQL Injection,Banking,52.91,619669,Unknown,Unpatched Software,Antivirus,19,619721.91
Australia,2023,SQL Injection,Telecommunications,20.95,341111,Insider,Weak Passwords,VPN,14,341131.95
France,2018,Ransomware,Government,2.79,443730,Hacker Group,Weak Passwords,Antivirus,39,443732.79
Japan,2017,DDoS,IT,27.76,824968,Insider,Weak Passwords,Encryption,15,824995.76
Japan,2016,Man-in-the-Middle,Retail,58.77,172346,Nation-state,Social Engineering,AI-based Detection,51,172404.77
Germany,2022,DDoS,Telecommunications,51.95,919855,Hacker Group,Weak Passwords,Antivirus,56,919906.95
Germany,2021,Man-in-the-Middle,IT,90.57,254634,Hacker Group,Social Engineering,AI-based Detection,5,254724.57
France,2022,Phishing,Retail,39.15,724409,Unknown,Weak Passwords,Antivirus,56,724448.15
UK,2018,Phishing,Healthcare,95.3,269142,Unknown,Unpatched Software,Encryption,72,269237.3
India,2024,Phishing,Retail,92.48,32067,Insider,Unpatched Software,Antivirus,19,32159.48
Germany,2020,Malware,Government,32.2,591314,Hacker Group,Weak Passwords,Encryption,65,591346.2
Germany,2019,SQL Injection,Healthcare,91.72,149171,Hacker Group,Zero-day,VPN,64,149262.72
Brazil,2016,DDoS,IT,13.52,535205,Hacker Group,Social Engineering,AI-based Detection,53,535218.52
Germany,2022,Ransomware,Education,87.93,471889,Nation-state,Zero-day,Antivirus,4,471976.93
France,2019,Phishing,Healthcare,52.18,869751,Insider,Zero-day,Firewall,12,869803.18
Russia,2017,DDoS,Education,50.42,690010,Nation-state,Weak Passwords,Firewall,18,690060.42
Brazil,2017,Ransomware,Healthcare,32.9,433987,Unknown,Zero-day,AI-based Detection,21,434019.9
UK,2017,Phishing,Banking,1.54,31262,Unknown,Social Engineering,Firewall,56,31263.54
Australia,2022,Malware,Retail,32.26,824433,Nation-state,Unpatched Software,AI-based Detection,60,824465.26
Germany,2023,Man-in-the-Middle,Retail,23.28,651963,Insider,Unpatched Software,AI-based Detection,53,651986.28
France,2017,SQL Injection,Education,81.06,349070,Unknown,Zero-day,VPN,41,349151.06
USA,2024,Malware,Telecommunications,71.42,967411,Hacker Group,Social Engineering,AI-based Detection,47,967482.42
Japan,2021,SQL Injection,Retail,64.81,263770,Unknown,Social Engineering,Antivirus,62,263834.81
UK,2016,Phishing,Retail,85.89,714670,Hacker Group,Weak Passwords,VPN,32,714755.89
USA,2021,DDoS,Telecommunications,47.84,498904,Hacker Group,Zero-day,Antivirus,65,498951.84
USA,2024,Phishing,Education,47.95,569539,Unknown,Weak Passwords,Encryption,18,569586.95
China,2016,Man-in-the-Middle,Retail,82.52,217938,Nation-state,Weak Passwords,VPN,69,218020.52
China,2022,Ransomware,Retail,36.48,172607,Unknown,Zero-day,VPN,60,172643.48
India,2023,Man-in-the-Middle,Retail,95.66,424762,Insider,Unpatched Software,VPN,10,424857.66
Japan,2019,Man-in-the-Middle,IT,42.34,130309,Insider,Zero-day,AI-based Detection,56,130351.34
India,2018,DDoS,Government,65.11,95378,Insider,Social Engineering,Antivirus,67,95443.11
India,2017,Phishing,IT,53.95,920801,Nation-state,Zero-day,Antivirus,52,920854.95
Japan,2020,Man-in-the-Middle,Retail,91.36,551038,Insider,Social Engineering,Firewall,21,551129.36
China,2016,Malware,Telecommunications,85.8,962508,Unknown,Social Engineering,AI-based Detection,13,962593.8
France,2020,Malware,Healthcare,92.29,267554,Hacker Group,Social Engineering,Firewall,45,267646.29
Japan,2020,Ransomware,IT,25.3,76258,Unknown,Social Engineering,VPN,43,76283.3
Russia,2016,Malware,Banking,3.6,661377,Hacker Group,Weak Passwords,Antivirus,66,661380.6
Australia,2022,SQL Injection,Retail,56.62,310341,Unknown,Weak Passwords,Encryption,32,310397.62
Russia,2017,Phishing,Education,66.25,702883,Insider,Unpatched Software,VPN,31,702949.25
USA,2017,Malware,Education,78.38,516103,Hacker Group,Unpatched Software,Firewall,62,516181.38
USA,2015,Malware,Retail,84.7,542283,Hacker Group,Social Engineering,Firewall,64,542367.7
Russia,2016,SQL Injection,Government,43.75,173441,Hacker Group,Social Engineering,Antivirus,43,173484.75
France,2017,DDoS,Retail,67.36,856228,Hacker Group,Zero-day,Encryption,47,856295.36
UK,2019,Malware,IT,68.54,791265,Hacker Group,Social Engineering,Firewall,65,791333.54
USA,2019,Malware,Retail,45.42,969699,Hacker Group,Social Engineering,Firewall,63,969744.42
Russia,2023,Malware,Telecommunications,95,338867,Nation-state,Unpatched Software,AI-based Detection,34,338962
Japan,2018,Ransomware,Government,44.98,951249,Hacker Group,Weak Passwords,VPN,25,951293.98
USA,2022,Ransomware,IT,50.4,34584,Insider,Zero-day,Firewall,43,34634.4
Brazil,2021,Malware,Education,74.37,298836,Hacker Group,Social Engineering,Encryption,29,298910.37
Brazil,2018,Malware,Retail,27.82,526161,Unknown,Unpatched Software,AI-based Detection,12,526188.82
Brazil,2020,Phishing,Government,76.95,476308,Insider,Social Engineering,VPN,44,476384.95
China,2017,SQL Injection,Banking,29.39,206897,Unknown,Zero-day,Encryption,18,206926.39
Japan,2022,Malware,IT,1.92,2653,Nation-state,Unpatched Software,AI-based Detection,56,2654.92
UK,2024,Ransomware,Healthcare,90.37,540353,Hacker Group,Unpatched Software,Antivirus,68,540443.37
Germany,2015,Phishing,Retail,84.77,779922,Nation-state,Zero-day,Antivirus,50,780006.77
Germany,2016,Ransomware,Education,24.4,908906,Hacker Group,Weak Passwords,AI-based Detection,46,908930.4
Russia,2021,Man-in-the-Middle,Healthcare,28.34,446741,Nation-state,Weak Passwords,Firewall,20,446769.34
India,2023,Phishing,Education,9.95,317488,Insider,Social Engineering,VPN,46,317497.95
Brazil,2024,Phishing,IT,72.33,182613,Unknown,Unpatched Software,AI-based Detection,26,182685.33
UK,2018,Ransomware,IT,61.42,211305,Hacker Group,Zero-day,Encryption,27,211366.42
UK,2024,DDoS,Government,68.83,60379,Hacker Group,Unpatched Software,Firewall,32,60447.83
Russia,2020,Ransomware,Healthcare,11.11,785179,Unknown,Weak Passwords,VPN,2,785190.11
Russia,2022,SQL Injection,Telecommunications,1.99,652682,Insider,Social Engineering,Encryption,46,652683.99
Brazil,2022,SQL Injection,Banking,5.85,52649,Nation-state,Unpatched Software,Encryption,57,52654.85
Germany,2024,Man-in-the-Middle,Government,45.75,865871,Insider,Weak Passwords,Antivirus,58,865916.75
Russia,2022,DDoS,Retail,93.71,474552,Nation-state,Zero-day,Encryption,20,474645.71
France,2024,SQL Injection,Healthcare,5.7,400840,Insider,Social Engineering,VPN,57,400845.7
USA,2020,Phishing,Education,60.57,275819,Nation-state,Social Engineering,Firewall,69,275879.57
Brazil,2021,DDoS,Retail,89.79,454088,Hacker Group,Social Engineering,VPN,70,454177.79
France,2018,Phishing,Government,30.68,338619,Hacker Group,Unpatched Software,Antivirus,68,338649.68
Brazil,2018,Malware,Banking,31.56,940038,Hacker Group,Zero-day,Antivirus,24,940069.56
USA,2017,DDoS,Government,98.73,17805,Nation-state,Weak Passwords,Antivirus,31,17903.73
Japan,2020,SQL Injection,Telecommunications,92.13,244933,Nation-state,Social Engineering,AI-based Detection,37,245025.13
USA,2016,Phishing,Retail,71.14,198602,Unknown,Zero-day,Firewall,18,198673.14
India,2023,DDoS,Retail,73.85,504861,Unknown,Weak Passwords,Antivirus,65,504934.85
UK,2016,Malware,Telecommunications,91.24,695618,Nation-state,Social Engineering,Antivirus,14,695709.24
China,2022,Man-in-the-Middle,Healthcare,5.4,270732,Unknown,Weak Passwords,Firewall,31,270737.4
UK,2015,Phishing,Retail,77.58,270326,Nation-state,Social Engineering,Firewall,24,270403.58
Russia,2017,Man-in-the-Middle,Government,80.95,827534,Hacker Group,Unpatched Software,Firewall,29,827614.95
Germany,2020,Man-in-the-Middle,Retail,46.07,32499,Insider,Zero-day,Firewall,14,32545.07
Russia,2016,Malware,Telecommunications,52.2,279065,Hacker Group,Unpatched Software,VPN,62,279117.2
Germany,2017,Ransomware,Telecommunications,49.56,119598,Insider,Unpatched Software,Encryption,43,119647.56
Germany,2016,SQL Injection,Education,61.78,387500,Nation-state,Weak Passwords,AI-based Detection,30,387561.78
Brazil,2018,Phishing,Education,66.07,656031,Nation-state,Social Engineering,Encryption,36,656097.07
China,2022,Ransomware,Education,85.72,637259,Unknown,Zero-day,VPN,57,637344.72
Russia,2023,SQL Injection,Education,0.98,623106,Nation-state,Weak Passwords,Firewall,43,623106.98
India,2015,DDoS,Education,21.74,513867,Unknown,Zero-day,Firewall,34,513888.74
Australia,2023,Man-in-the-Middle,Healthcare,7.54,710871,Insider,Zero-day,Firewall,55,710878.54
India,2020,Malware,Healthcare,7.08,875225,Unknown,Zero-day,Antivirus,31,875232.08
Germany,2024,Malware,Retail,71.2,989625,Unknown,Social Engineering,Firewall,53,989696.2
China,2016,DDoS,Education,89.08,210433,Insider,Weak Passwords,AI-based Detection,63,210522.08
USA,2018,Malware,IT,26.31,709153,Hacker Group,Weak Passwords,VPN,45,709179.31
France,2020,Ransomware,IT,21.11,568832,Nation-state,Social Engineering,Firewall,12,568853.11
China,2022,Phishing,Retail,51.76,355545,Unknown,Weak Passwords,Encryption,68,355596.76
Germany,2019,Phishing,Education,90.91,112635,Insider,Weak Passwords,Firewall,55,112725.91
Brazil,2015,SQL Injection,Banking,89.39,988268,Unknown,Zero-day,VPN,44,988357.39
India,2021,Malware,Education,65.87,357399,Nation-state,Zero-day,Encryption,2,357464.87
Japan,2018,Man-in-the-Middle,Government,78.16,512258,Hacker Group,Weak Passwords,Encryption,32,512336.16
Australia,2024,Ransomware,Healthcare,24.21,180760,Nation-state,Weak Passwords,Encryption,34,180784.21
USA,2023,Man-in-the-Middle,Retail,81.16,691638,Unknown,Zero-day,Antivirus,17,691719.16
Russia,2019,Ransomware,IT,80.18,123757,Insider,Social Engineering,Encryption,54,123837.18
Germany,2018,DDoS,Telecommunications,70,702285,Hacker Group,Zero-day,AI-based Detection,46,702355
Australia,2022,DDoS,Education,9.73,907708,Unknown,Unpatched Software,AI-based Detection,44,907717.73
Australia,2015,DDoS,Healthcare,4.49,713160,Hacker Group,Unpatched Software,Encryption,26,713164.49
USA,2022,Malware,Banking,46.75,239200,Nation-state,Social Engineering,Encryption,8,239246.75
China,2016,DDoS,Healthcare,63.15,500521,Nation-state,Weak Passwords,Encryption,27,500584.15
India,2015,Phishing,IT,25.47,741259,Hacker Group,Unpatched Software,Antivirus,18,741284.47
Japan,2021,SQL Injection,Education,3.97,604843,Insider,Unpatched Software,AI-based Detection,40,604846.97
UK,2023,SQL Injection,Education,19.17,697610,Insider,Weak Passwords,Encryption,18,697629.17
Germany,2022,SQL Injection,IT,58.35,730850,Hacker Group,Weak Passwords,AI-based Detection,27,730908.35
Australia,2018,SQL Injection,IT,65.08,417807,Insider,Social Engineering,Firewall,46,417872.08
India,2020,Malware,Healthcare,3.74,58205,Hacker Group,Unpatched Software,Encryption,63,58208.74
India,2016,SQL Injection,Healthcare,33.11,830670,Unknown,Social Engineering,Antivirus,11,830703.11
Brazil,2024,Ransomware,Government,57.7,691990,Insider,Weak Passwords,Antivirus,41,692047.7
USA,2015,Ransomware,Retail,74.68,498089,Insider,Weak Passwords,Encryption,18,498163.68
China,2015,Ransomware,IT,86.82,748040,Insider,Weak Passwords,Firewall,18,748126.82
Brazil,2018,Ransomware,Healthcare,4.51,909979,Nation-state,Social Engineering,VPN,65,909983.51
Australia,2019,Man-in-the-Middle,Banking,27,286038,Nation-state,Social Engineering,Encryption,43,286065
Russia,2021,SQL Injection,Retail,82.88,479586,Insider,Zero-day,AI-based Detection,8,479668.88
Australia,2020,Phishing,Banking,42.03,454763,Hacker Group,Social Engineering,Firewall,14,454805.03
UK,2019,Phishing,Telecommunications,33.85,60183,Nation-state,Unpatched Software,AI-based Detection,17,60216.85
Russia,2018,Phishing,Education,94.6,596801,Nation-state,Weak Passwords,Antivirus,70,596895.6
China,2021,Ransomware,IT,71.9,698786,Hacker Group,Zero-day,Antivirus,21,698857.9
Japan,2021,DDoS,Telecommunications,94.23,441749,Nation-state,Unpatched Software,AI-based Detection,55,441843.23
China,2018,SQL Injection,Healthcare,76.4,966102,Hacker Group,Social Engineering,Firewall,1,966178.4
India,2017,Malware,Healthcare,66.29,430200,Unknown,Zero-day,Antivirus,48,430266.29
UK,2023,Ransomware,Banking,49.89,638668,Nation-state,Social Engineering,Encryption,47,638717.89
UK,2019,DDoS,Healthcare,81.91,127817,Nation-state,Weak Passwords,Antivirus,66,127898.91
Brazil,2017,Man-in-the-Middle,Government,14.54,491794,Nation-state,Zero-day,Encryption,4,491808.54
Germany,2024,Ransomware,IT,33.44,737958,Hacker Group,Social Engineering,Encryption,54,737991.44
Australia,2017,DDoS,Education,31.74,724207,Hacker Group,Weak Passwords,Firewall,54,724238.74
Germany,2018,SQL Injection,Healthcare,78.11,451780,Hacker Group,Unpatched Software,VPN,28,451858.11
India,2016,Man-in-the-Middle,Healthcare,8.25,875227,Unknown,Zero-day,AI-based Detection,20,875235.25
Brazil,2018,Malware,Banking,17.52,334945,Nation-state,Weak Passwords,Antivirus,33,334962.52
Australia,2023,DDoS,IT,81.89,525978,Unknown,Weak Passwords,Antivirus,12,526059.89
UK,2016,Phishing,Retail,37.29,761252,Insider,Weak Passwords,VPN,57,761289.29
China,2017,Phishing,Government,38.87,168075,Insider,Social Engineering,AI-based Detection,52,168113.87
Japan,2015,Ransomware,Banking,6.57,443408,Hacker Group,Weak Passwords,Encryption,71,443414.57
UK,2018,DDoS,IT,17.99,60917,Unknown,Zero-day,VPN,1,60934.99
USA,2017,Man-in-the-Middle,Banking,59.54,839892,Nation-state,Weak Passwords,Encryption,20,839951.54
Brazil,2021,Ransomware,Government,72.14,673933,Unknown,Zero-day,AI-based Detection,22,674005.14
USA,2021,Ransomware,Education,84.64,534283,Insider,Social Engineering,VPN,49,534367.64
UK,2022,DDoS,Education,32.2,49715,Insider,Unpatched Software,Encryption,72,49747.2
China,2022,SQL Injection,Banking,1.16,297461,Hacker Group,Zero-day,Firewall,15,297462.16
Russia,2021,SQL Injection,Healthcare,48.71,861410,Unknown,Social Engineering,VPN,7,861458.71
Germany,2016,DDoS,Telecommunications,14.28,547178,Insider,Social Engineering,Firewall,45,547192.28
Japan,2020,Ransomware,Banking,37.38,273660,Insider,Weak Passwords,Firewall,6,273697.38
Brazil,2023,Phishing,IT,23.01,195113,Unknown,Unpatched Software,Encryption,4,195136.01
China,2018,Man-in-the-Middle,Banking,9.77,881294,Insider,Unpatched Software,AI-based Detection,3,881303.77
USA,2024,Phishing,Government,58.64,146937,Hacker Group,Social Engineering,Firewall,10,146995.64
Russia,2016,Phishing,Healthcare,11.29,72191,Unknown,Weak Passwords,Antivirus,3,72202.29
Australia,2022,Man-in-the-Middle,Government,90.65,898589,Hacker Group,Zero-day,AI-based Detection,58,898679.65
Japan,2024,Malware,Telecommunications,30.66,430306,Nation-state,Weak Passwords,VPN,67,430336.66
Australia,2022,DDoS,IT,27.02,835814,Insider,Weak Passwords,Encryption,40,835841.02
Russia,2015,SQL Injection,IT,56.07,837322,Insider,Zero-day,AI-based Detection,25,837378.07
Russia,2019,SQL Injection,Telecommunications,10.88,299403,Unknown,Unpatched Software,Antivirus,23,299413.88
USA,2024,Man-in-the-Middle,Government,96.13,482492,Unknown,Social Engineering,Encryption,17,482588.13
China,2022,DDoS,IT,88.61,777010,Hacker Group,Weak Passwords,VPN,34,777098.61
Germany,2021,DDoS,IT,73.5,806210,Unknown,Weak Passwords,Antivirus,5,806283.5
China,2024,Malware,Government,1.17,281616,Nation-state,Unpatched Software,Encryption,6,281617.17
India,2023,Ransomware,Banking,42.02,827952,Hacker Group,Unpatched Software,AI-based Detection,21,827994.02
USA,2020,Malware,Retail,59.15,179586,Hacker Group,Social Engineering,VPN,27,179645.15
UK,2022,Phishing,Retail,26.63,725905,Hacker Group,Zero-day,VPN,54,725931.63
USA,2016,DDoS,Healthcare,30.49,723411,Hacker Group,Weak Passwords,AI-based Detection,40,723441.49
India,2024,Malware,Banking,14.01,141437,Nation-state,Weak Passwords,Firewall,10,141451.01
USA,2019,DDoS,Government,49.88,441744,Unknown,Weak Passwords,Firewall,40,441793.88
Japan,2016,Malware,Telecommunications,4.84,936738,Insider,Weak Passwords,Antivirus,8,936742.84
USA,2024,Malware,Education,75.51,822636,Insider,Social Engineering,Antivirus,63,822711.51
Australia,2018,Malware,Banking,68.32,843891,Unknown,Weak Passwords,Antivirus,31,843959.32
Russia,2020,DDoS,Healthcare,6.37,82576,Nation-state,Weak Passwords,VPN,40,82582.37
France,2024,Ransomware,Banking,97.53,759522,Unknown,Weak Passwords,VPN,39,759619.53
UK,2024,Ransomware,Banking,12.22,860343,Hacker Group,Weak Passwords,Antivirus,42,860355.22
Australia,2023,Malware,Government,55.72,14483,Nation-state,Weak Passwords,Firewall,36,14538.72
Japan,2023,Malware,Telecommunications,67.77,871255,Hacker Group,Social Engineering,AI-based Detection,24,871322.77
India,2019,Man-in-the-Middle,Government,98.86,48647,Unknown,Zero-day,Encryption,48,48745.86
Australia,2024,Phishing,Education,74.75,109907,Insider,Social Engineering,VPN,5,109981.75
Brazil,2022,Man-in-the-Middle,Retail,89.11,749386,Unknown,Unpatched Software,Firewall,16,749475.11
Russia,2018,Malware,Telecommunications,89.79,900723,Insider,Zero-day,Firewall,32,900812.79
France,2024,Phishing,IT,49.75,943151,Nation-state,Zero-day,VPN,66,943200.75
USA,2019,Malware,Education,1.05,93580,Nation-state,Unpatched Software,VPN,21,93581.05
China,2019,Malware,Retail,26.66,303469,Insider,Social Engineering,VPN,60,303495.66
USA,2024,Malware,Telecommunications,0.71,28436,Unknown,Unpatched Software,Encryption,66,28436.71
France,2015,Phishing,Healthcare,41.92,383484,Unknown,Unpatched Software,VPN,52,383525.92
Germany,2017,DDoS,Telecommunications,40.05,27446,Insider,Social Engineering,AI-based Detection,13,27486.05
